prompt,greedy_search,beam_search,top_k,top_p,greedy_bert_score,beam_bert_score,top_k_bert_score,top_p_bert_score,greedy_bleu,beam_bleu,top_k_bleu,top_p_bleu
"Hannah: Hey, do you have Betty's number?
Amanda: Lemme check
Hannah: <file_gif>
Amanda: Sorry, can't find it.
Amanda: Ask Larry
Amanda: He called her last time we were at the park together
Hannah: I don't know him well
Hannah: <file_gif>
Amanda: Don't be shy, he's very nice
Hannah: If you say so..
Hannah: I'd rather you texted him
Amanda: Just text him 🙂
Hannah: Urgh.. Alright
Hannah: Bye
Amanda: Bye bye",Hannah is looking for Betty's number. Larry called her last time they were at the park together. Hannah doesn't know Larry very well. Amanda suggests Hannah to text him. Hannah agrees to text Larry instead.   ...  .  ,Hannah is looking for Betty's number. Larry called her last time they were at the park together. Hannah doesn't know him very well. Amanda suggests Hannah to text him.   She will talk to him later. She is going to see Larry. He is a nice guy.,Hannah is looking for Betty's number. Larry called Betty last time they were at the park together. Hannah doesn't know Larry very well. Amanda suggests Hannah to text Larry. Hannah agrees to text him.   ...   - Hannah and Amanda are good friends.,"Hannah is looking for Betty's number. Larry called Betty the last time they were at the park together. Hannah doesn't know him well. Amanda suggests Hannah to text Larry. Hannah agrees to text him instead.   ...   ""Bye"" ",0.8867388963699341,0.8913558721542358,0.8816162943840027,0.8842294216156006,0.0,0.0,0.0,0.0
"Eric: MACHINE!
Rob: That's so gr8!
Eric: I know! And shows how Americans see Russian ;)
Rob: And it's really funny!
Eric: I know! I especially like the train part!
Rob: Hahaha! No one talks to the machine like that!
Eric: Is this his only stand-up?
Rob: Idk. I'll check.
Eric: Sure.
Rob: Turns out no! There are some of his stand-ups on youtube.
Eric: Gr8! I'll watch them now!
Rob: Me too!
Eric: MACHINE!
Rob: MACHINE!
Eric: TTYL?
Rob: Sure :)",Eric and Rob like Russian comedian's stand-up. They will watch some of his stand-ups on youtube now. They like his jokes about machines and trains.    Rob and Eric will talk to each other on Skype soon. They are in touch. ,Eric and Rob like the Russian comedian who talks to the machine. There are some of his stand-ups on youtube. Eric will watch them with Rob now. They will talk to machines. Rob and Eric love the comedian.  They are going to watch some more together.,"Eric and Rob like the Russian comedian who talks to the machine in his stand-up. Eric and Rob will watch some of his videos on youtube now.   They like the train part of the joke very much, but not the whole thing as it's not very funny.",Eric and Rob like Russian comedian's stand-up. There are some of his stand-ups on youtube. Eric and Rob are going to watch some of them now. They like the train part of the comedy very much and find the joke about talking to a machine funny.,0.9026031494140625,0.9053404927253723,0.8934176564216614,0.9031275510787964,0.0,0.08102230734381086,0.0,0.14288752829815848
"Lenny: Babe, can you help me with something?
Bob: Sure, what's up?
Lenny: Which one should I pick?
Bob: Send me photos
Lenny:  <file_photo>
Lenny:  <file_photo>
Lenny:  <file_photo>
Bob: I like the first ones best
Lenny: But I already have purple trousers. Does it make sense to have two pairs?
Bob: I have four black pairs :D :D
Lenny: yeah, but shouldn't I pick a different color?
Bob: what matters is what you'll give you the most outfit options
Lenny: So I guess I'll buy the first or the third pair then
Bob: Pick the best quality then
Lenny: ur right, thx
Bob: no prob :)",Lenny will buy the first or the third pair of purple trousers for Bob. Bob has four black trousers. Lenny will choose the one with the most outfit options for Bob and he will pick the best quality one.      . ,Lenny will buy the first or the third pair of purple trousers. Bob has four black trousers and advises Lenny to choose the one that will give him the most outfit options. He advises her to pick the best quality and to buy it in a different color. ,"Bob advises Lenny to buy purple trousers. Lenny will buy the first or the third pair. Bob has four black trousers, so Lenny should choose the one with the most outfit options. Bob will help Lenny pick the one of the best quality. ",Bob advises Lenny on which pair of purple trousers to buy. Lenny will buy the first or the third pair of the purple trousers. Bob has four black trousers.  He wants Lenny to buy the best quality one.      ,0.8888339400291443,0.902550220489502,0.9046984910964966,0.9049191474914551,0.0,0.0,0.0,0.0984148644912228
"Will: hey babe, what do you want for dinner tonight?
Emma:  gah, don't even worry about it tonight
Will: what do you mean? everything ok?
Emma: not really, but it's ok, don't worry about cooking though, I'm not hungry
Will: Well what time will you be home?
Emma: soon, hopefully
Will: you sure? Maybe you want me to pick you up?
Emma: no no it's alright. I'll be home soon, i'll tell you when I get home. 
Will: Alright, love you. 
Emma: love you too. ",Emma doesn't want to cook dinner tonight. She will tell Will when she gets home. Will will pick her up when he's back home.   He will love her. He and Emma will see each other later tonight. They love each other. ,"Emma will be home soon. She will tell Will what she wants for dinner when she gets home. Will will pick her up when he gets back. They will have dinner together tonight. Emma is not hungry, so she won't be cooking.  She doesn't want Will to cook.","Emma will be home soon and she will tell Will what she wants for dinner tonight. Will will pick her up when he gets home.   He doesn't need to worry about cooking, because she's not hungry. They love each other very much. ","Emma will be home soon and will let Will know what she wants for dinner tonight. She doesn't want to cook, because she's not hungry. Will will pick her up when he gets home, as she doesn't feel like going out tonight. ",0.8735241293907166,0.890298068523407,0.8955503702163696,0.9014766216278076,0.0,0.07167282492261375,0.14882455879385484,0.15231420173290325
"Ollie: Hi , are you in Warsaw
Jane: yes, just back! Btw are you free for diner the 19th?
Ollie: nope!
Jane: and the  18th?
Ollie: nope, we have this party and you must be there, remember?
Jane: oh right! i lost my calendar..  thanks for reminding me
Ollie: we have lunch this week?
Jane: with pleasure!
Ollie: friday?
Jane: ok
Jane: what do you mean "" we don't have any more whisky!"" lol..
Ollie: what!!!
Jane: you just call me and the all thing i heard was that sentence about whisky... what's wrong with you?
Ollie: oh oh... very strange! i have to be carefull may be there is some spy in my mobile! lol
Jane: dont' worry, we'll check on friday.
Ollie: don't forget to bring some sun with you
Jane: I can't wait to be in Morocco..
Ollie: enjoy and see you friday
Jane: sorry Ollie, i'm very busy, i won't have time for lunch  tomorrow, but may be at 6pm after my courses?this trip to Morocco was so nice, but time consuming!
Ollie: ok for tea!
Jane: I'm on my way..
Ollie: tea is ready, did you bring the pastries?
Jane: I already ate them all... see you in a minute
Ollie: ok",Jane is in Warsaw. Ollie has a party on the 18th. They will meet for lunch on Friday at 6 pm. Jane will bring the pastries she brought to the party. Jane is on her way back from Morocco. She will bring some sun and bring some whisky.,"Jane is in Warsaw. Ollie has a party on the 18th. They will meet for lunch on Friday at 6 pm. Jane is on her way. She will bring the pastries that she brought to the party, which she had already eaten. ",Jane is in Warsaw. Ollie has a party on the 18th. They will meet for lunch on Friday at 6 pm. Jane will bring the pastries she brought to the party. She will also bring some suncream. She is on her way. ,Jane is in Warsaw. Ollie has a party on the 18th. They will meet for lunch on Friday. Jane will be back from Morocco in a minute. She will bring pastries and bring some sun for Ollies tea. She has already eaten the pastries.,0.8977429270744324,0.9008492231369019,0.8939907550811768,0.8874372243881226,0.22306552953519643,0.22050586719389628,0.22630057911493692,0.18745601007594367
"Benjamin: Hey guys, what are we doing with the keys today?
Hilary: I've got them. Whoever wants them can meet me at lunchtime or after
Elliot: I'm ok. We're meeting for the drinks in the evening anyway and I guess we'll be going back to the apartment together?
Hilary: Yeah, I guess so
Daniel: I'm with Hilary atm and won't let go of her for the rest of the day, so any option you guys choose is good for me
Benjamin: Hmm I might actually pass by at lunchtime, take the keys and go take a nap. I'm sooo tired after yesterday
Hilary: Sounds good. We'll be having lunch with some French people (the ones who work on the history of food in colonial Mexico - I already see you yawning your head off)
Benjamin: YAAAAWN 🙊 Where and where are you meeting?
Hilary: So I'm meeting them at the entrance to the conference hall at 2 pm and then we'll head to this place called La Cantina. Italian cuisine, which is quite funny, but that's what they've chosen
Benjamin: Interesting 😱 To be honest, Hilary, I almost feel like changing my mind. Wanting to take this nap might end up costing me to dear
Hilary: Oh come on 😂
Benjamin: All these terrible obstacles on mu way to bed might just prove to much to take
Hilary: We'll try to avoid talking about their subject of research. Oh wait, no, I'm actually meeting them because I wanted to chat about their research lol
Elliot: 🙉
Hilary: Do join us, we're going to have fun. And then you'll take the keys and take this most deserved of naps
Elliot: Sounds like a plan 😂
Hilary: 😎
Elliot: See you at 2 then xx","Benjamin, Elliot and Daniel are going to meet Hilary at the entrance to the conference hall at 2 pm to have lunch with some French people who work on the history of food in colonial Mexico. They will go to La Cantina to eat Italian cuisine. Hilary wants Benjamin to join them and take the keys.","Benjamin, Elliot and Daniel are going to meet Hilary at the entrance to the conference hall at 2 pm to have lunch with some French people who work on the history of food in colonial Mexico. They will go to La Cantina to eat Italian cuisine. Benjamin will join them and take the keys.",Hilary has the keys to Benjamin's apartment. She is meeting some French people at the entrance to the conference hall at 2 p.m. to have lunch with them and discuss their research. Elliot will join them. Benjamin will pass by at lunchtime and take the keys.,Hilary has the keys to Benjamin's apartment. She will meet some French people who work on the history of food in colonial Mexico at the entrance to the conference hall at 2 pm and they will go to La Cantina for lunch. Elliot and Daniel are meeting for drinks in the evening. Benjamin will join them.,0.9136695265769958,0.9130825996398926,0.9171234965324402,0.9302635192871094,0.26675945012732133,0.26295886412552877,0.2917194052159984,0.3408051294940755
"Max: Know any good sites to buy clothes from?
Payton: Sure :) <file_other> <file_other> <file_other> <file_other> <file_other> <file_other> <file_other>
Max: That's a lot of them!
Payton: Yeah, but they have different things so I usually buy things from 2 or 3 of them.
Max: I'll check them out. Thanks. 
Payton: No problem :)
Max: How about u?
Payton: What about me?
Max: Do u like shopping?
Payton: Yes and no.
Max: How come?
Payton: I like browsing, trying on, looking in the mirror and seeing how I look, but not always buying.
Max: Y not?
Payton: Isn't it obvious? ;)
Max: Sry ;)
Payton: If I bought everything I liked, I'd have nothing left to live on ;)
Max: Same here, but probably different category ;)
Payton: Lol
Max: So what do u usually buy?
Payton: Well, I have 2 things I must struggle to resist!
Max: Which are?
Payton: Clothes, ofc ;)
Max: Right. And the second one?
Payton: Books. I absolutely love reading!
Max: Gr8! What books do u read?
Payton: Everything I can get my hands on :)
Max: Srsly?
Payton: Yup :)","Max will check out some good sites to buy clothes from. He likes browsing, trying on, looking in the mirror and seeing how he looks, but not always buying. For Payton, she prefers to browse, try on, and look in a mirror. She also likes to read.","Max is looking for a website where he can buy clothes and books. He will check out a lot of them. Neither he nor Payton like shopping, but they both enjoy browsing and looking in the mirror before buying something they find interesting and useful, even if they don't buy everything they like.","Max will check out some good sites to buy clothes from. He likes browsing, trying on, looking in the mirror and seeing how he looks, but not always buying. For Payton, she prefers to browse, try on, and look in a mirror. She also likes to read.","Max will check out some of the sites that Payton recommends to him. He likes browsing, trying on, looking in the mirror and seeing how he looks, but not always buying. He prefers to buy clothes and books, which he struggles to resist.  ",0.9111660718917847,0.8915375471115112,0.9111660718917847,0.9173721671104431,0.0,0.0,0.0,0.0
"Rita: I'm so bloody tired. Falling asleep at work. :-(
Tina: I know what you mean.
Tina: I keep on nodding off at my keyboard hoping that the boss doesn't notice..
Rita: The time just keeps on dragging on and on and on.... 
Rita: I keep on looking at the clock and there's still 4 hours of this drudgery to go.
Tina: Times like these I really hate my work.
Rita: I'm really not cut out for this level of boredom.
Tina: Neither am I.","Rita and Tina are bored at work. They both hate their jobs. They are not cut out for this level of boredom. They don't want to go back to work anymore. They feel the time is dragging on and on, and there's still 4 hours of work to go.",Rita and Tina are bored at work. The work drags on and on. Tina keeps on nodding off at her keyboard hoping that the boss doesn't notice. Rita is not cut out for this level of boredom. Neither is Tina.   They don't want to work there anymore.,"Rita and Tina are bored at work. They both hate their jobs. They hope that the boss doesn't notice them falling asleep at the keyboard. They are not cut out for this level of boredom, neither do they want to work there anymore.  ",Rita and Tina are bored at work. They are both tired and bored with the drudgery of their job. They both agree that they are not cut out for this level of boredom and they hate their jobs.      .  ,0.9140963554382324,0.8776659369468689,0.8900756239891052,0.8893711566925049,0.12952741640890278,0.11133996756497443,0.11974032927121092,0.14160105937647138
"Beatrice: I am in town, shopping. They have nice scarfs in the shop next to the church. Do you want one?
Leo: No, thanks
Beatrice: But you don't have a scarf.
Leo: Because I don't need it.
Beatrice: Last winter you had a cold all the time. A scarf could help.
Leo: I don't like them.
Beatrice: Actually, I don't care. You will get a scarf.
Leo: How understanding of you!
Beatrice: You were complaining the whole winter that you're going to die. I've had enough.
Leo: Eh.","Beatrice will buy a scarf for Leo because he had a cold all the time last winter. He doesn't want one, because he doesn't like scarves. He was complaining the whole winter that he was going to die, so Beatrice has had enough.","Beatrice will buy a scarf for Leo because he had a cold all the time last winter. He doesn't like scarves, but she will get him one anyway. She was complaining the whole winter that she's going to die, so Beatrice has had enough.",Beatrice is in town and finds a scarf in the shop next to the church. Leo doesn't want it because he doesn't like scarves. He had a cold last winter. Beatrice doesn't care. She will get him a scarf anyway. ,"Beatrice will buy a scarf for Leo because he had a cold last winter. He doesn't want one as he doesn't like scarves. He complained the whole winter that he was going to die, so Beatrice has had enough and will get him a scarf.",0.9002400040626526,0.904530942440033,0.915283203125,0.9066154360771179,0.10369816700638208,0.0,0.1320722235973145,0.12635080075470545
"Ivan: hey eric
Eric: yeah man
Ivan: so youre coming to the wedding
Eric: your brother's
Ivan: yea
Eric: i dont know mannn
Ivan: YOU DONT KNOW??
Eric: i just have a lot to do at home, plus i dont know if my parents would let me
Ivan: ill take care of your parents
Eric: youre telling me you have the guts to talk to them XD
Ivan: thats my problem
Eric: okay man, if you say so
Ivan: yea just be there 
Eric: alright",Eric doesn't know if he's coming to Ivan's brother's wedding. Ivan will take care of Eric's parents. Eric will go if Ivan tells him to.   He will talk to his parents if Ivan wants him to do so.  Eric will come. ,Eric doesn't know if he can come to Ivan's brother's wedding because he has a lot to do at home and his parents wouldn't let him. Ivan will take care of Eric's parents and will talk to them. Eric will come if Ivan says so. ,Eric doesn't know if he can come to Ivan's brother's wedding because he has a lot to do at home. Ivan will take care of Eric's parents. Eric will come to the wedding if Ivan tells him to.   He will talk to his parents. ,Eric doesn't know if he's coming to Ivan's brother's wedding. Eric has a lot to do at home and he's not sure if his parents would let him. Ivan will take care of Eric's parents. Eric will come to the wedding. ,0.9196330904960632,0.9306573271751404,0.9238448739051819,0.9230040311813354,0.21672328066436025,0.20662389476933615,0.14805679807551378,0.18604441256798246
